case_id,candidate_id,source_label,video_conditioned,readable,eligible_for_rerank,winner_hint,reject_reason,repair_action,artifact_path,duration_sec,rms,peak,silence_ratio,score
street_rain_crosswalk_001,street_rain_crosswalk_001__mmaudio__dss_compact,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/street_rain_crosswalk_001__mmaudio__dss_compact.wav,,,,,
subway_arrival_door_001,subway_arrival_door_001__mmaudio__dss_avoid_priority,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/subway_arrival_door_001__mmaudio__dss_avoid_priority.wav,,,,,
subway_arrival_door_001,subway_arrival_door_001__mmaudio__dss_compact,fallback_mmaudio_baseline,false,true,true,false,,,experiments/mmaudio_baseline_2026_06_30/candidates/subway_arrival_door_001__mmaudio__dss_compact.wav,,,,,
forest_bird_branch_001,forest_bird_branch_001__control_rule_foley_v0,control_or_repair_candidate,false,true,true,false,,,artifacts/model_runs/week17_control_baseline/forest_bird_branch_001/forest_bird_branch_001__control_rule_foley_v0.wav,,,,,
glass_drop_room_001,glass_drop_room_001__control_rule_foley_v0,control_or_repair_candidate,false,true,true,false,,,artifacts/model_runs/week17_control_baseline/glass_drop_room_001/glass_drop_room_001__control_rule_foley_v0.wav,,,,,
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0,control_or_repair_candidate,false,true,true,false,,,artifacts/model_runs/week17_control_baseline/kitchen_chop_sizzle_001/kitchen_chop_sizzle_001__control_rule_foley_v0.wav,,,,,
robot_warehouse_pick_001,robot_warehouse_pick_001__control_rule_foley_v0,control_or_repair_candidate,false,true,true,false,,,artifacts/model_runs/week17_control_baseline/robot_warehouse_pick_001/robot_warehouse_pick_001__control_rule_foley_v0.wav,,,,,
street_rain_crosswalk_001,street_rain_crosswalk_001__control_rule_foley_v0,control_or_repair_candidate,false,true,true,false,,,artifacts/model_runs/week17_control_baseline/street_rain_crosswalk_001/street_rain_crosswalk_001__control_rule_foley_v0.wav,,,,,
subway_arrival_door_001,subway_arrival_door_001__control_rule_foley_v0,control_or_repair_candidate,false,true,true,false,,,artifacts/model_runs/week17_control_baseline/subway_arrival_door_001/subway_arrival_door_001__control_rule_foley_v0.wav,,,,,
kitchen_chop_sizzle_001,kitchen_chop_sizzle_001__control_rule_foley_v0_repair_v1,control_or_repair_candidate,false,true,true,false,,,artifacts/model_runs/week17_control_repaired/kitchen_chop_sizzle_001/kitchen_chop_sizzle_001__control_rule_foley_v0_repair_v1.wav,,,,,
glass_drop_room_001,true_mmaudio_attempt__blocked__20260701,true_mmaudio_attempt,false,false,false,false,candidate_id=glass_drop_room_001__mmaudio__true_replacement_v0; case_id=glass_drop_room_001; model=MMAudio; status=blocked; video_conditioned=False; fallback_used=False,keep_as_blocker_then_use_labeled_fallback_race,reports/mmaudio_true_one_attempt_failures.json,,,,,
